,t-5,t-4,t-3,t-2,t-1,target
352,57.79,60.27,60.89,59.03,60.27,62.76
353,60.27,60.89,59.03,60.27,62.76,60.89
354,60.89,59.03,60.27,62.76,60.89,59.03
355,59.03,60.27,62.76,60.89,59.03,60.89
356,60.27,62.76,60.89,59.03,60.89,60.89
357,62.76,60.89,59.03,60.89,60.89,59.03
358,60.89,59.03,60.89,60.89,59.03,59.03
359,59.03,60.89,60.89,59.03,59.03,60.27
360,60.89,60.89,59.03,59.03,60.27,59.03
361,60.89,59.03,59.03,60.27,59.03,57.17
362,59.03,59.03,60.27,59.03,57.17,57.79
363,59.03,60.27,59.03,57.17,57.79,59.03
364,60.27,59.03,57.17,57.79,59.03,60.27
365,59.03,57.17,57.79,59.03,60.27,59.03
366,57.17,57.79,59.03,60.27,59.03,59.03
367,57.79,59.03,60.27,59.03,59.03,60.27
368,59.03,60.27,59.03,59.03,60.27,55.92
369,60.27,59.03,59.03,60.27,55.92,57.17
370,59.03,59.03,60.27,55.92,57.17,59.03
371,59.03,60.27,55.92,57.17,59.03,60.89
372,60.27,55.92,57.17,59.03,60.89,60.27
373,55.92,57.17,59.03,60.89,60.27,57.79
374,57.17,59.03,60.89,60.27,57.79,57.79
375,59.03,60.89,60.27,57.79,57.79,62.76
376,60.89,60.27,57.79,57.79,62.76,60.27
377,60.27,57.79,57.79,62.76,60.27,60.89
378,57.79,57.79,62.76,60.27,60.89,62.14
379,57.79,62.76,60.27,60.89,62.14,62.76
380,62.76,60.27,60.89,62.14,62.76,62.14
381,60.27,60.89,62.14,62.76,62.14,60.27
382,60.89,62.14,62.76,62.14,60.27,60.27
383,62.14,62.76,62.14,60.27,60.27,60.27
384,62.76,62.14,60.27,60.27,60.27,59.03
385,62.14,60.27,60.27,60.27,59.03,62.14
386,60.27,60.27,60.27,59.03,62.14,59.03
387,60.27,60.27,59.03,62.14,59.03,57.17
388,60.27,59.03,62.14,59.03,57.17,57.79
389,59.03,62.14,59.03,57.17,57.79,60.27
390,62.14,59.03,57.17,57.79,60.27,60.27
391,59.03,57.17,57.79,60.27,60.27,57.17
392,57.17,57.79,60.27,60.27,57.17,57.79
393,57.79,60.27,60.27,57.17,57.79,60.27
394,60.27,60.27,57.17,57.79,60.27,55.92
395,60.27,57.17,57.79,60.27,55.92,60.27
396,57.17,57.79,60.27,55.92,60.27,57.79
397,57.79,60.27,55.92,60.27,57.79,57.17
398,60.27,55.92,60.27,57.79,57.17,55.3
399,55.92,60.27,57.79,57.17,55.3,57.17
400,60.27,57.79,57.17,55.3,57.17,59.03
401,57.79,57.17,55.3,57.17,59.03,55.92
402,57.17,55.3,57.17,59.03,55.92,55.92
403,55.3,57.17,59.03,55.92,55.92,57.17
404,57.17,59.03,55.92,55.92,57.17,55.3
405,59.03,55.92,55.92,57.17,55.3,57.17
406,55.92,55.92,57.17,55.3,57.17,60.27
407,55.92,57.17,55.3,57.17,60.27,59.03
408,57.17,55.3,57.17,60.27,59.03,60.27
409,55.3,57.17,60.27,59.03,60.27,57.17
410,57.17,60.27,59.03,60.27,57.17,55.92
411,60.27,59.03,60.27,57.17,55.92,57.79
412,59.03,60.27,57.17,55.92,57.79,55.92
413,60.27,57.17,55.92,57.79,55.92,55.92
414,57.17,55.92,57.79,55.92,55.92,59.03
415,55.92,57.79,55.92,55.92,59.03,55.92
416,57.79,55.92,55.92,59.03,55.92,55.92
417,55.92,55.92,59.03,55.92,55.92,55.92
418,55.92,59.03,55.92,55.92,55.92,55.3
419,59.03,55.92,55.92,55.92,55.3,55.92
420,55.92,55.92,55.92,55.3,55.92,55.3
421,55.92,55.92,55.3,55.92,55.3,55.3
422,55.92,55.3,55.92,55.3,55.3,52.2
423,55.3,55.92,55.3,55.3,52.2,55.3
424,55.92,55.3,55.3,52.2,55.3,54.06
425,55.3,55.3,52.2,55.3,54.06,55.3
426,55.3,52.2,55.3,54.06,55.3,55.92
427,52.2,55.3,54.06,55.3,55.92,52.2
428,55.3,54.06,55.3,55.92,52.2,52.82
429,54.06,55.3,55.92,52.2,52.82,59.03
430,55.3,55.92,52.2,52.82,59.03,54.06
431,55.92,52.2,52.82,59.03,54.06,54.06
432,52.2,52.82,59.03,54.06,54.06,52.2
433,52.82,59.03,54.06,54.06,52.2,54.06
434,59.03,54.06,54.06,52.2,54.06,55.92
435,54.06,54.06,52.2,54.06,55.92,49.71
436,54.06,52.2,54.06,55.92,49.71,50.95
437,52.2,54.06,55.92,49.71,50.95,55.3
438,54.06,55.92,49.71,50.95,55.3,57.79
439,55.92,49.71,50.95,55.3,57.79,57.79
440,49.71,50.95,55.3,57.79,57.79,55.3
441,50.95,55.3,57.79,57.79,55.3,52.82
442,55.3,57.79,57.79,55.3,52.82,42.87
443,57.79,57.79,55.3,52.82,42.87,41.01
444,57.79,55.3,52.82,42.87,41.01,42.87
445,55.3,52.82,42.87,41.01,42.87,47.85
446,52.82,42.87,41.01,42.87,47.85,44.74
447,42.87,41.01,42.87,47.85,44.74,49.71
448,41.01,42.87,47.85,44.74,49.71,44.12
449,42.87,47.85,44.74,49.71,44.12,45.98
450,47.85,44.74,49.71,44.12,45.98,39.77
